run_id,timestamp,label,notes,accuracy,precision,recall,f1,mcc,gm,roc_auc,cm_tp,cm_tn,cm_fp,cm_fn,param_hidden_layer_sizes,param_solver,param_activation,param_multiclass,param_tuned,data_n_train_clean,data_n_features,data_n_classes
multi_baseline_20260403_1744,2026-04-03T17:44:13.683093,MLP Baseline,Multiclasse 3-classes,0.996165,0.93637,0.994245,0.962338,0.991748,0.995538,0.0,0,0,0,0,"(128, 64)",adam,relu,True,False,69439,12,3
multi_baseline_20260403_1751,2026-04-03T17:51:09.531672,MLP Baseline,Multiclasse 3-classes,0.996165,0.93637,0.994245,0.962338,0.991748,0.995538,0.0,0,0,0,0,"(128, 64)",adam,relu,True,False,69439,12,3
